LB.10	Aakkâr
EG.13	New Valley
US.NY	New York
CA.05	Newfoundland and Labrador
PW.08	Ngaraard
PW.09	Ngarchelong
PW.10	Ngardmau
PW.11	Ngatpang
PW.12	Ngchesar
PW.13	Ngeremlengui
VN.58	Nghệ An Province
PW.14	Ngiwal
PA.12	Ngöbe-Buglé Comarca
GA.04	Ngouni
BI.19	Ngozi
BW.10	Ngwaketsi
NE.08	Niamey
CG.07	Niari
MZ.07	Niassa Province
NR.12	Nibok District
SR.14	Nickerie District
CY.04	Nicosia
CH.NW	Nidwalden
TR.73	Niğde Province
NG.31	Niger State
JP.29	Niigata
LR.09	Nimba
AF.19	Nimroz
IQ.15	Nineveh
CN.21	Ningxia
VN.59	Ninh Bình Province
VN.60	Ninh Thuận Province
HT.15	Nippes
MD.80	Nisporeni
SK.04	Nitra Region
TO.NI	Niuas
TV.NIT	Niutao
RU.51	Nizhny Novgorod Oblast
TZ.30	Njombe
HU.14	Nógrád
TH.79	Nong Bua Lamphu
TH.17	Nong Khai
TH.38	Nonthaburi
MV.43	Noonu Atoll
BF.10	Nord
HT.09	Nord
CD.11	Nord Kivu
HT.10	Nord-Est
NO.09	Nordland
HT.03	Nord-Ouest
FO.NO	Norðoyar
CD.26	Nord-Ubangi
FR.28	Normandy
SE.14	Norrbotten
CO.21	Norte de Santander Department
CM.13	North
HK.NNO	North
BS.46	North Abaco
GR.ESYE41	North Aegean
BS.47	North Andros
GM.07	North Bank
NL.06	North Brabant
NI.17	North Caribbean Coast
US.NC	North Carolina
LK.30	North Central Province
KR.05	North Chungcheong
US.ND	North Dakota
DK.19	North Denmark
GH.15	North East
BS.48	North Eleuthera
KP.17	North Hamgyong Province
AI.11205436	North Hill
NL.07	North Holland
ID.42	North Kalimantan
FI.12	North Karelia
KZ.16	North Kazakhstan
IR.43	North Khorasan
SD.56	North Kordofan
ID.29	North Maluku
RU.68	North Ossetia–Alania
FI.17	North Ostrobothnia
NC.01	North Province
DE.07	North Rhine-Westphalia
FI.11	North Savo
AI.11205440	North Side
KY.10375970	North Side
EG.27	North Sinai
ID.31	North Sulawesi
ID.26	North Sumatra
SL.05	North West
ZA.10	North West
LK.32	North Western Province
IS.40	Northeast
BW.08	North-East
OM.12	Northeastern Governorate
BH.19	Northern
FJ.03	Northern
GH.06	Northern
MV.30	Northern Ari Atoll
SS.05	Northern Bahr al Ghazal
SA.15	Northern Borders Region
ZA.08	Northern Cape
SD.55	Northern Darfur
IL.03	Northern District
GB.NIR	Northern Ireland
MP.085	Northern Islands
PH.10	Northern Mindanao
LK.38	Northern Province
RW.13	Northern Province
SL.02	Northern Province
ZM.05	Northern Province
ER.06	Northern Red Sea
MW.N	Northern Region
UG.N	Northern Region
SD.43	Northern State
AU.03	Northern Territory
NZ.F6	Northland
IS.41	Northwest
BW.11	North-West
CM.07	North-West
CA.13	Northwest Territories
ZM.06	North-Western
MO.11875154	Nossa Senhora de Fátima
MO.11875159	Nossa Senhora do Carmo
MR.14	Nouakchott Nord
MR.13	Nouakchott Ouest
MR.15	Nouakchott Sud
FR.75	Nouvelle-Aquitaine
SI.84	Nova Gorica
CA.07	Nova Scotia
MK.E1	Novaci
RU.52	Novgorod Oblast
SI.J7	Novo Mesto
MK.72	Novo Selo
RU.53	Novosibirsk Oblast
CL.18	Ñuble
VE.17	Nueva Esparta
NI.13	Nueva Segovia Department
MX.19	Nuevo León
SO.18	Nugaal
TV.NUI	Nui
TV.NKF	Nukufetau
TV.NKL	Nukulaelae
TK.N	Nukunonu
CA.14	Nunavut
AF.38	Nuristan
KE.42	Nyamira county
KE.43	Nyandarua County
GA.05	Nyanga
KE.44	Nyeri County
GN.N	Nzérékoré Region
MX.20	Oaxaca
SI.27	Občina Gorenja vas-Poljane
DJ.04	Obock
CH.OW	Obwalden
FR.76	Occitanie
HN.14	Ocotepeque Department
UA.17	Odessa
IN.21	Odisha
SI.86	Odranci
TL.OE	Oecusse
GA.06	Ogooué-Ivindo
GA.07	Ogooué-Lolo
GA.08	Ogooué-Maritime
LV.21	Ogre
NG.16	Ogun State
AZ.37	Oğuz
NA.33	Ohangwena Region
CL.08	O'Higgins Region
US.OH	Ohio
MK.E2	Ohrid
GW.04	Oio
JP.30	Oita
JP.31	Okayama
JP.47	Okinawa
US.OK	Oklahoma
LV.A2	Olaine
HN.15	Olancho Department
CZ.84	Olomoucký
RO.29	Olt
NA.35	Omaheke Region
CF.17	Ombella-M'Poko
MN.14	Ömnögovĭ
YE.19	Omran
RU.54	Omsk Oblast
NA.36	Omusati Region
IM.9782186	Onchan
NG.48	Ondo State
CA.08	Ontario
SI.J8	Oplotnica Municipality
PL.79	Opole Voivodeship
ME.09	Opština Kolašin
ME.12	Opština Nikšić
ME.13	Opština Plav
ME.15	Opština Plužine
ME.18	Opština Šavnik
ME.21	Opština Žabljak
DZ.09	Oran
ZA.03	Orange Free State
BZ.04	Orange Walk District
AD.05	Ordino
TR.52	Ordu
SE.15	Örebro
US.OR	Oregon
EC.24	Orellana Province
RU.55	Orenburg Oblast
MD.82	Orhei
MN.25	Orhon
MA.02	Oriental
SI.87	Ormož
PG.04	Oro Province
PR.107	Orocovis
ET.51	Oromiya
BO.05	Oruro
AF.39	Oruzgan
RU.56	Oryol oblast
JP.32	Ōsaka
KG.10	Osh City
KG.08	Osh Region
NA.37	Oshana Region
NA.38	Oshikoto Region
SI.88	Osilnica
NO.12	Oslo
TR.91	Osmaniye
SE.16	Östergötland
NO.13	Østfold
FI.15	Ostrobothnia
NG.42	Osun State
NZ.F7	Otago
KH.27	Ŏtâr Méanchey
GH.16	Oti
NA.39	Otjozondjupa Region
TD.12	Ouadaï
CF.11	Ouaka
YT.97614	Ouangani
DZ.50	Ouargla
LA.07	Oudômxai
BJ.16	Ouémé
HT.11	Ouest
CF.12	Ouham
CF.13	Ouham-Pendé
DZ.OD	Ouled Djellal
DZ.29	Oum el Bouaghi
SC.11876017	Outer Islands
NL.15	Overijssel
MN.15	Övörhangay
NG.32	Oyo State
CY.06	Pafos
BM.04	Paget
MY.06	Pahang
FI.07	Paijat-Hame
KH.30	Pailin
AF.36	Paktia
AF.29	Paktika
WS.08	Palauli
CK.11695387	Palmerston
UM.400	Palmyra Atoll
YT.97615	Pamandzi
MU.16	Pamplemousses
PA.08	Panamá
PA.13	Panamá Oeste Province
BO.06	Pando
LT.60	Panevėžys
AF.42	Panjshir
MT.39	Paola
ID.36	Papua
BR.16	Pará
SR.15	Para District
PY.15	Paraguarí
BR.17	Paraíba
SR.16	Paramaribo District
BR.18	Paraná
CZ.86	Pardubický
EE.11	Pärnumaa
BT.13	Paro
AF.40	Parwan
PE.19	Pasco
EC.17	Pastaza Province
TH.39	Pathum Thani
PR.109	Patillas
IM.9782187	Patrick
TH.69	Pattani
CV.05	Paul
KZ.11	Pavlodar Region
FR.52	Pays de la Loire
UY.11	Paysandú Department
BG.48	Pazardzhik
XK.10097359	Pec
DO.16	Pedernales Province
IM.9782188	Peel
MK.78	Pehchevo
PW.15	Peleliu
GR.ESYE25	Peloponnese
BT.14	Pemagatshel
TZ.13	Pemba North
TZ.20	Pemba South
BM.05	Pembroke
MT.40	Pembroke
TT.PED	Penal/Debe
VU.17	Penama
MY.09	Penang
US.PA	Pennsylvania
CK.11695388	Penrhyn
PR.111	Peñuelas
RU.57	Penza Oblast
MY.07	Perak
DO.35	Peravia
MY.08	Perlis
RU.90	Perm Krai
BR.30	Pernambuco
BG.49	Pernik
SI.89	Pesnica
HU.16	Pest County
GT.12	Petén
ME.23	Petnjica Municipality
MK.79	Petrovec
TH.61	Phang Nga
TH.66	Phatthalung
TH.41	Phayao
TH.14	Phetchabun
TH.56	Phetchaburi
TH.13	Phichit
TH.12	Phitsanulok
KH.22	Phnom Penh
KI.03	Phoenix Islands
LA.18	Phôngsali
TH.36	Phra Nakhon Si Ayutthaya
TH.07	Phrae
VN.83	Phú Thọ Province
VN.61	Phú Yên Province
TH.62	Phuket
BR.20	Piauí
EC.18	Pichincha
IT.12	Piedmont
CU.01	Pinar del Río
SI.J9	Piran-Pirano
FI.06	Pirkanmaa
GU.PI	Piti
PE.20	Piura
SI.91	Pivka
MU.17	Plaines Wilhems
SC.19	Plaisance
LI.05	Planken
MK.80	Plasnica
BJ.17	Plateau
NG.49	Plateau State
BF.11	Plateau-Central
CG.08	Plateaux
TG.25	Plateaux
BG.50	Pleven
ME.14	Pljevlja
BG.51	Plovdiv
CZ.87	Plzeň Region
SI.92	Podčetrtek
ME.16	Podgorica
PL.81	Podlasie
SI.K1	Podlehnik
SI.K2	Podvelka
FM.02	Pohnpei State
TT.PTF	Point Fortin
SC.20	Pointe La Rue
CG.15	Pointe-Noire
SI.O8	Poljčane
UA.18	Poltava
EE.12	Põlvamaa
SI.K3	Polzela
PL.82	Pomerania
GY.16	Pomeroon-Supenaam
PR.113	Ponce
CG.11	Pool
IM.9782189	Port Erin
SC.27	Port Glaud
MU.18	Port Louis
TT.05	Port of Spain
EG.19	Port Said
IM.9782190	Port St Mary
PT.16	Portalegre
JM.07	Portland Parish
PT.17	Porto
CV.21	Porto Novo
VE.18	Portuguesa
SI.94	Postojna
GY.17	Potaro-Siparuni
BO.07	Potosí Department
HR.11	Požega-Slavonia
TH.74	Prachin Buri
TH.57	Prachuap Khiri Khan
CZ.52	Prague
RO.30	Prahova
CV.14	Praia
KH.28	Preah Sihanouk
KH.13	Preah Vihear
SI.K4	Prebold
SI.K5	Preddvor
LV.22	Preiļu novads
PY.16	Presidente Hayes
SK.05	Prešov Region
SI.K6	Prevalje
KH.14	Prey Veng
MK.E3	Prilep
HR.12	Primorje-Gorski Kotar
RU.59	Primorye
CA.09	Prince Edward Island
TT.PRT	Princes Town
ST.01	Príncipe
XK.10097360	Pristina
XK.10097361	Prizren
MK.83	Probishtip
FR.93	Provence-Alpes-Côte d'Azur
NP.1	Province 1
NP.2	Province 2
NP.4	Province 4
RU.60	Pskov Oblast
SI.K7	Ptuj
SI.97	Puconci
IN.22	Puducherry
MX.21	Puebla
DO.18	Puerto Plata
CK.11695389	Pukapuka
BT.15	Punakha
IN.23	Punjab
PK.04	Punjab
PE.21	Puno
CR.07	Puntarenas Province
KH.12	Pursat
MY.17	Putrajaya
CO.22	Putumayo Department
TZ.02	Pwani
KP.11	P'yŏngan-bukto
KP.12	Pyongyang
AZ.38	Qabala District
LS.17	Qacha's Nek District
EG.12	Qalyubia
UZ.08	Qashqadaryo
AZ.39	Qax
AZ.40	Qazax
IR.38	Qazvin Province
EG.23	Qena
GL.11839534	Qeqertalik
GL.06	Qeqqata
CN.06	Qinghai
AZ.41	Qobustan
IR.39	Qom Province
MT.43	Qormi
KZ.13	Qostanay
VN.62	Quảng Bình Province
VN.84	Quảng Nam Province
VN.63	Quảng Ngãi Province
VN.30	Quảng Ninh
VN.64	Quảng Trị Province
AZ.42	Quba
AZ.43	Qubadlı
CA.10	Quebec
PR.115	Quebradillas
AU.04	Queensland
MX.22	Querétaro
GT.13	Quetzaltenango
GT.14	Quiché
GW.02	Quinara
CO.23	Quindío Department
MX.23	Quintana Roo
SY.03	Quneitra
AZ.44	Qusar District
LS.18	Quthing
KZ.14	Qyzylorda
MV.44	Raa Atoll
MA.04	Rabat-Salé-Kénitra
SI.98	Rače-Fram
GE.70	Racha-Lechkhumi and Kvemo Svaneti
SI.99	Radeče Municipality
SI.A1	Radenci
SI.A2	Radlje ob Dravi
MK.84	Radovish
SI.A3	Radovljica
BS.18	Ragged Island
MD.73	Raionul Edineţ
MD.81	Raionul Ocniţa
IN.24	Rajasthan
BD.83	Rajshahi Division
CK.11695390	Rakahanga
MM.01	Rakhine
IM.9782191	Ramsey
BD.87	Rangpur Division
MK.85	Rankovce
TH.59	Ranong province
EE.13	Raplamaa
CK.11695425	Rarotonga
AE.05	Raʼs al Khaymah
KP.18	Rason
KH.23	Ratanakiri
TH.52	Ratchaburi
SI.K8	Ravne na Koroškem
YE.27	Raymah
TH.47	Rayong
IR.42	Razavi Khorasan
BG.52	Razgrad
SI.K9	Razkrižje
SI.O9	Rečica ob Savinji
EG.02	Red Sea
SD.36	Red Sea
LU.RD	Redange
AG.09	Redonda
CL.10	Region of Magallanes
DZ.51	Relizane
LU.RM	Remich
SI.P1	Renče-Vogrsko
SB.13	Rennell and Bellona Province
RU.79	Republic of Tyva
TJ.RR	Republican Subordination
MK.86	Resen
GT.15	Retalhuleu
RE.RE	Réunion
LV.23	Rēzekne
LV.24	Rēzekne Municipality
MD.83	Rezina
DE.08	Rheinland-Pfalz
US.RI	Rhode Island
ID.37	Riau
ID.40	Riau Islands
CV.22	Ribeira Brava
CV.07	Ribeira Grande
CV.23	Ribeira Grande de Santiago
SI.L1	Ribnica
SI.L2	Ribnica na Pohorju
SY.08	Rif-dimashq
LV.25	Riga
PR.117	Rincón
BR.21	Rio de Janeiro
PR.119	Río Grande
BR.22	Rio Grande do Norte
BR.23	Rio Grande do Sul
AR.16	Rio Negro
UY.12	Río Negro Department
NI.14	Río San Juan Department
CO.24	Risaralda Department
MD.84	Rîşcani
NI.15	Rivas Department
LR.18	River Cess County
LR.22	River Gee County
SD.53	River Nile
UY.13	Rivera Department
NG.50	Rivers State
MU.19	Rivière du Rempart
UA.19	Rivne
SA.10	Riyadh Region
TR.53	Rize Province
UY.14	Rocha Department
SC.30	Roche Caiman
MU.23	Rodrigues
NO.14	Rogaland
SI.A7	Rogaška Slatina
SI.A6	Rogašovci
SI.A8	Rogatec
TH.25	Roi Et
BR.24	Rondônia
MH.350	Rongelap Atoll
MH.360	Rongrik Atoll
LV.B5	Ropaži Municipality
BR.25	Roraima
AS.030	Rose Island
MK.87	Rosoman
RU.61	Rostov
MP.100	Rota
FJ.04	Rotuma
ME.17	Rožaje Municipality
LI.06	Ruggell
TZ.24	Rukwa
BS.49	Rum Cay
BI.26	Rumonge
BG.53	Ruse
SI.L3	Ruše Municipality
IM.9782192	Rushen
BI.20	Rutana
TZ.14	Ruvuma
BI.21	Ruyigi
RU.62	Ryazan Oblast
TH.80	Sa Kaeo
YE.15	Şa‘dah
EE.14	Saare
DE.09	Saarland
AZ.45	Saatlı
BQ.SB	Saba
MY.16	Sabah
PR.121	Sabana Grande
LK.33	Sabaragamuwa Province
LY.75	Sabha District
AZ.46	Sabirabad District
GT.16	Sacatepéquez
YT.97616	Sada
MT.47	Safi
JP.33	Saga
MM.10	Sagaing Region
BF.12	Sahel
HK.NSK	Sai Kung
DZ.10	Saida
BB.02	Saint Andrew
GG.6417226	Saint Andrew
DM.02	Saint Andrew Parish
GD.01	Saint Andrew Parish
JM.08	Saint Andrew Parish
VC.02	Saint Andrew Parish
JM.09	Saint Ann Parish
KN.02	Saint Anne Sandy Point
MS.01	Saint Anthony
JM.10	Saint Catherine Parish
VI.010	Saint Croix Island
DM.03	Saint David Parish
GD.02	Saint David Parish
VC.03	Saint David Parish
CH.SG	Saint Gallen
BB.03	Saint George
BM.06	Saint George
KN.03	Saint George Basseterre
KN.04	Saint George Gingerland
AG.03	Saint George Parish
DM.04	Saint George Parish
GD.03	Saint George Parish
VC.04	Saint George Parish
MS.02	Saint Georges
BM.07	Saint Georgeʼs
SH.02	Saint Helena
BB.04	Saint James
JM.12	Saint James Parish
KN.05	Saint James Windwa
BB.05	Saint John
MT.48	Saint John
KN.06	Saint John Capesterre
KN.07	Saint John Figtree
VI.020	Saint John Island
AG.04	Saint John Parish
DM.05	Saint John Parish
GD.04	Saint John Parish
BB.06	Saint Joseph
DM.06	Saint Joseph Parish
MT.49	Saint Julian
MT.50	Saint Lawrence
SC.22	Saint Louis
MT.51	Saint Lucia
BB.07	Saint Lucy
DM.07	Saint Luke Parish
DM.08	Saint Mark Parish
GD.05	Saint Mark Parish
KN.08	Saint Mary Cayon
AG.05	Saint Mary Parish
JM.13	Saint Mary Parish
BB.08	Saint Michael
DM.09	Saint Patrick Parish
GD.06	Saint Patrick Parish
VC.05	Saint Patrick Parish
KN.09	Saint Paul Capesterre
KN.10	Saint Paul Charlestown
AG.06	Saint Paul Parish
DM.10	Saint Paul Parish
MT.52	Saint Paul’s Bay
BB.09	Saint Peter
MS.03	Saint Peter
KN.11	Saint Peter Basseterre
AG.07	Saint Peter Parish
DM.11	Saint Peter Parish
BB.10	Saint Philip
AG.08	Saint Philip Parish
GG.6417215	Saint Saviour
BB.11	Saint Thomas
VI.030	Saint Thomas Island
KN.12	Saint Thomas Lowland
JM.14	Saint Thomas Parish
MT.53	Saint Venera
SN.14	Saint-Louis
TF.01	Saint-Paul-et-Amsterdam
PM.97502	Saint-Pierre
MP.110	Saipan
JP.34	Saitama
TR.54	Sakarya
RU.63	Sakha
RU.64	Sakhalin Oblast
TH.20	Sakon Nakhon
CV.08	Sal
IQ.18	Salah ad Din
RO.31	Sălaj County
TD.13	Salamat
LV.C3	Salaspils Municipality
LA.19	Salavan Province
LV.27	Saldus Rajons
PR.123	Salinas
SI.L4	Šalovci
AR.17	Salta
UY.15	Salto Department
AZ.49	Salyan District
AT.05	Salzburg
DO.20	Samaná
AF.32	Samangan
RU.65	Samara Oblast
UZ.10	Samarqand Region
AZ.50	Şamaxı
KE.45	Samburu County
BT.17	Samdrup Jongkhar
GE.71	Samegrelo and Zemo Svaneti
TR.55	Samsun
BT.16	Samtse District
GE.72	Samtskhe-Javakheti
TH.42	Samut Prakan
TH.55	Samut Sakhon
TH.54	Samut Songkhram
AZ.52	Samux
CO.25	San Andres y Providencia
DO.33	San Cristóbal
TT.10	San Fernando
PR.125	San Germán
CR.08	San José
DO.36	San José de Ocoa
UY.16	San José Department
AR.18	San Juan
PR.127	San Juan
DO.23	San Juan Province
TT.SJL	San Juan/Laventille
PR.129	San Lorenzo
AR.19	San Luis
MX.24	San Luis Potosí
GT.17	San Marcos
SM.07	San Marino
PE.22	San Martín Department
SV.09	San Miguel Department
DO.24	San Pedro de Macorís
PY.17	San Pedro Department
BS.35	San Salvador
SV.10	San Salvador Department
PR.131	San Sebastián
SV.12	San Vicente Department
YE.16	Sanaa Governorate
SO.12	Sanaag
DO.21	Sánchez Ramírez
CU.14	Sancti Spíritus Province
PG.18	Sandaun Province
FO.SA	Sandoy
AI.11205392	Sandy Ground
AI.11205393	Sandy Hill
BM.08	Sandys
CG.10	Sangha
CF.16	Sangha-Mbaéré
TT.SGE	Sangre Grande Regional Corporation
CD.27	Sankuru
TR.63	Şanlıurfa
VU.13	Sanma
MT.54	Sannat
AD.06	Sant Julià de Loria
SV.11	Santa Ana Department
HN.16	Santa Bárbara Department
BR.26	Santa Catarina
CV.15	Santa Catarina
CV.24	Santa Catarina do Fogo
AR.20	Santa Cruz
CV.16	Santa Cruz
BO.08	Santa Cruz Department
EC.25	Santa Elena
AR.21	Santa Fe
PR.133	Santa Isabel
GU.SR	Santa Rita
GT.18	Santa Rosa Department
CO.26	Santander Department
PT.18	Santarém
CU.15	Santiago de Cuba Province
AR.22	Santiago del Estero
CL.12	Santiago Metropolitan
DO.25	Santiago Province
DO.26	Santiago Rodríguez
MO.11875155	Santo António
EC.26	Santo Domingo de los Tsáchilas
DO.37	Santo Domingo Province
IM.9782193	Santon
CV.17	São Domingos
CV.18	São Filipe
MO.11875161	São Francisco Xavier
MO.11875156	São Lázaro
MO.11875158	São Lourenço
CV.25	São Lourenço dos Órgãos
CV.19	São Miguel
BR.27	São Paulo
CV.26	São Salvador do Mundo
ST.02	São Tomé Island
CV.11	São Vicente
TH.37	Saraburi
SR.17	Saramacca District
RU.67	Saratov Oblast
MY.11	Sarawak
IT.14	Sardinia
AF.33	Sar-e Pol Province
BT.09	Sarpang District
CA.11	Saskatchewan
CI.96	Sassandra-Marahoué
FI.04	Satakunta
RO.32	Satu Mare County
TH.67	Satun
WS.09	Satupa'itea
LV.C5	Saulkrasti Municipality
MG.72	Sava
TG.26	Savanes
CI.87	Savanes District
GH.17	Savannah
LA.20	Savannakhet Province
MU.20	Savanne
DE.13	Saxony
DE.14	Saxony-Anhalt
LI.07	Schaan
CH.SH	Schaffhausen
LI.08	Schellenberg
DE.10	Schleswig-Holstein
CH.SZ	Schwyz
GB.SCT	Scotland
MO.11875157	Sé
SN.18	Sédhiou
MV.01	Seenu
ML.05	Ségou
KR.22	Sejong-si
MY.12	Selangor
MN.16	Selenge Province
BW.17	Selibe Phikwe
SI.L5	Selnica ob Dravi
SI.B1	Semič
AZ.51	Şǝmkir
IR.25	Semnan
SI.L6	Šempeter-Vrtojba
SI.B2	Šenčur
MT.25	Senglea
SI.B3	Šentilj
SI.B4	Šentjernej
SI.L7	Sentjur
SI.P2	Šentrupert
KR.11	Seoul
BR.28	Sergipe
GL.07	Sermersooq
SM.09	Serravalle
DZ.12	Sétif
PT.19	Setúbal
UA.20	Sevastopol City
SI.B6	Sevnica Municipality
SI.B7	Sežana
TN.32	Sfax Governorate
HK.NST	Sha Tin
CN.26	Shaanxi
AZ.17	Shabran
YE.05	Shabwah
AZ.47	Shaki
AZ.48	Shaki City
HK.KSS	Sham Shui Po
MM.11	Shan State
CN.25	Shandong
CN.23	Shanghai
CN.24	Shanxi
AE.06	Sharjah
EG.14	Sharqia
MV.45	Shaviyani Atholhu
VU.18	Shefa
GE.73	Shida Kartli
JP.35	Shiga
JP.36	Shimane
TZ.15	Shinyanga
AM.07	Shirak
AZ.07	Shirvan
SZ.04	Shiselweni
JP.37	Shizuoka
AL.49	Shkodër County
MK.98	Shtip
BG.54	Shumen
AZ.55	Shusha
AZ.56	Shusha City
KZ.1537272	Shymkent
TH.30	Si Sa Ket
LT.61	Siauliai
KE.46	Siaya County
HR.13	Šibenik-Knin
RO.33	Sibiu County
CN.32	Sichuan
IT.15	Sicily
DZ.30	Sidi Bel Abbès
TN.33	Sidi Bouzid Governorate
KH.24	Siem Reap
WF.98612	Sigave
LV.C7	Sigulda Municipality
TR.74	Siirt
ML.06	Sikasso
IN.29	Sikkim
TD.25	Sila
PL.83	Silesia
TN.22	Siliana Governorate
BG.55	Silistra
TZ.31	Simiyu
GU.SJ	Sinajana
MX.25	Sinaloa
PK.05	Sindh
TH.33	Sing Buri
MD.85	Sîngerei
TZ.16	Singida
SD.58	Sinnār
LR.10	Sinoe County
TR.57	Sinop
BQ.SE	Sint Eustatius
SR.18	Sipaliwini District
TT.SIP	Siparia Regional Corporation
UZ.16	Sirdaryo Region
TR.80	Şırnak
HR.14	Sisak-Moslavina
IR.04	Sistan and Baluchestan
KY.10375972	Sister Island
TR.58	Sivas
AZ.53	Siyǝzǝn
SE.27	Skåne
DZ.31	Skikda
SI.B8	Škocjan
SI.B9	Škofja Loka
SI.C1	Škofljica
BG.56	Sliven
SI.C2	Slovenj Gradec
SI.L8	Slovenska Bistrica
SI.C4	Slovenska Konjice
SI.C5	Šmarje pri Jelšah
SI.P3	Šmarješke Toplice
SI.C6	Šmartno ob Paki
SI.L9	Šmartno pri Litiji
LV.D1	Smiltene Municipality
BM.09	Smithʼs
RU.69	Smolensk Oblast
BG.57	Smolyan
ET.54	SNNPR
VN.65	Sóc Trăng Province
PH.12	Soccsksargen
SE.18	Södermanland
SI.M1	Sodražica
MZ.05	Sofala
BG.58	Sofia
MG.42	Sofia
BG.42	Sofia-Capital
EG.24	Sohag
NG.51	Sokoto
SI.M2	Solčava Municipality
MD.86	Şoldăneşti
GT.19	Sololá
CH.SO	Solothurn
ET.52	Somali
HU.17	Somogy County
VN.32	Sơn La Province
TH.68	Songkhla
TZ.32	Songwe
MX.26	Sonora
SV.13	Sonsonate Department
PW.16	Sonsorol
SO.22	Sool
MK.92	Sopište
YE.28	Soqatra
UY.17	Soriano
MD.87	Soroca District
SI.C7	Šoštanj
LC.09	Soufrière
DZ.52	Souk Ahras
TN.23	Sousse Governorate
MA.09	Souss-Massa
CM.14	South
IS.42	South
BS.50	South Abaco
GR.ESYE42	South Aegean
BS.51	South Andros
AU.05	South Australia
NI.18	South Caribbean Coast
US.SC	South Carolina
US.SD	South Dakota
DK.21	South Denmark
BS.52	South Eleuthera
LB.06	South Governorate
AI.11205438	South Hill
NL.11	South Holland
ID.12	South Kalimantan
FI.09	South Karelia
KZ.10	South Kazakhstan
IR.41	South Khorasan Province
CD.12	South Kivu
LV.DN	South Kurzeme Municipality
CZ.78	South Moravian
FI.14	South Ostrobothnia
ID.PS	South Papua
NC.02	South Province
KP.15	South Pyongan
FI.10	South Savo
EG.26	South Sinai
ID.38	South Sulawesi
ID.32	South Sumatra
BM.10	Southampton
BW.09	South-East
ID.22	Southeast Sulawesi
OM.04	Southeastern Governorate
HK.HSO	Southern
MV.10346475	Southern Ari Atoll
SD.49	Southern Darfur
BZ.05	Southern District
IL.01	Southern District
BH.17	Southern Governorate
PG.05	Southern Highlands Province
SD.50	Southern Kordofan
IS.43	Southern Peninsula
LK.34	Southern Province
RW.15	Southern Province
SL.03	Southern Province
ZM.07	Southern Province
ER.03	Southern Red Sea
MW.S	Southern Region
NZ.F8	Southland
CM.09	South-West
FI.02	Southwest Finland
ID.PD	Southwest Papua
BW.18	Sowa Town
BS.53	Spanish Wells
HR.15	Split-Dalmatia
SI.P4	Središče ob Dravi
BA.02	Srpska
JE.3237072	St Clement
JE.3237864	St Helier
JE.3237497	St John
JE.3237214	St Lawrence
GG.6417224	St Martin
JE.3237716	St Martîn
JE.3237212	St Mary
JE.3237229	St Ouen
JE.3237221	St Peter
GG.6417228	St Peter Port
GG.6417213	St Pierre du Bois
GG.6417233	St Sampson
JE.3237073	St Saviour
JE.3237200	St. Brelade
JM.11	St. Elizabeth
RU.66	St.-Petersburg
BG.59	Stara Zagora
MK.97	Staro Nagorichane
SI.C8	Starše
RU.70	Stavropol Kray
MD.88	Ştefan-Vodă
SE.26	Stockholm
AI.11205443	Stoney Ground
SI.C9	Štore
MD.89	Strășeni
SI.P5	Straža
FO.ST	Streymoy
MK.E6	Struga
MK.E7	Strumica
MK.A2	Studenichani
KH.17	Stung Treng
AT.06	Styria
PL.80	Subcarpathia
RO.34	Suceava
GT.20	Suchitepeque
VE.19	Sucre
CO.27	Sucre Department
EC.22	Sucumbíos
HT.12	Sud
HT.13	Sud-Est
BF.13	Sud-Ouest
CD.28	Sud-Ubangi
FO.SU	Suðuroy
NP.7	Sudurpashchim Pradesh
EG.15	Suez
TJ.03	Sughd
MN.17	Sühbaatar
TH.09	Sukhothai
IQ.05	Sulaymaniyah
AZ.54	Sumqayit
UA.21	Sumy
TH.51	Suphan Buri
TH.60	Surat Thani
TH.29	Surin
LY.76	Surt
UZ.12	Surxondaryo Region
SI.P6	Sv. Trojica v Slov. Goricah
SJ.21	Svalbard
KH.18	Svay Rieng
RU.71	Sverdlovsk Oblast
SI.M3	Sveta Ana Municipality
SI.M4	Sveti Andraž v Slovenskih Goricah
SI.D1	Sveti Jurij
SI.P7	Sveti Jurij v Slovenskih Goricah
MK.A4	Sveti Nikole
SI.P8	Sveti Tomaž
AS.040	Swains Island
PL.84	Świętokrzyskie
BD.86	Sylhet Division
AM.08	Syunik
HU.18	Szabolcs-Szatmár-Bereg
YE.25	Ta‘izz
MT.27	Ta’ Kerċem
MT.59	Ta’ Xbiex
MX.27	Tabasco
SI.M5	Tabor
TZ.17	Tabora
SA.19	Tabuk Region
VE.20	Táchira
PE.23	Tacna
UY.18	Tacuarembó Department
DJ.05	Tadjourah
VU.15	Tafea
JO.12	Tafielah
MR.09	Tagant
NE.06	Tahoua Region
HK.NTP	Tai Po
TW.03	Taipei
KE.47	Taita Taveta
TW.04	Taiwan
TH.08	Tak
MH.385	Taka Atoll
SC.23	Takamaka
TW.02	Takao
KH.19	Takeo
AF.26	Takhar
KG.06	Talas Region
GU.TF	Talofofo
MT.41	Tal-Pietà
LV.28	Talsi Municipality
DZ.53	Tamanrasset
MX.28	Tamaulipas
SN.05	Tambacounda
RU.72	Tambov Oblast
